id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
3282,9.9,0.44,0.45,2.1,0.0819999999999999,10.0,18.0,0.99708,3.34,0.54,9.2,5.0
3283,7.2,0.39,0.39,2.0,0.078,7.0,17.0,0.99682,3.21,0.6,9.3,5.0
3284,8.7,0.61,0.13,2.3,0.074,15.0,37.0,0.9972,3.2,0.54,9.7,5.0
3285,12.6,0.33,0.42,1.7,0.074,12.0,54.0,0.9982,3.17,0.57,9.3,5.0
3286,7.2,0.645,0.2,2.1,0.079,14.0,31.0,0.99552,3.36,0.56,10.0,4.0
3287,7.8,0.69,0.05,2.3,0.08,15.0,27.0,0.99668,3.2,0.56,11.1,5.0
3288,8.2,0.58,0.45,2.8,0.078,10.0,31.0,0.9964,3.23,0.58,9.5,5.0
3289,8.9,0.69,0.27,2.3,0.084,12.0,26.0,0.99572,3.25,0.84,11.5,5.0
3290,7.8,0.41,0.39,2.4,0.05,18.0,86.0,0.9972,3.33,0.72,9.2,5.0
3291,9.3,0.55,0.29,2.0,0.11,8.0,23.0,0.9976,3.29,0.59,11.3,6.0
3292,6.6,0.37,0.3,2.2,0.068,13.0,29.0,0.9947,3.35,0.62,12.2,7.0
3293,7.7,0.46,0.12,1.9,0.08,18.0,54.0,0.99716,3.34,0.51,9.5,5.0
3294,9.3,0.3,0.49,2.3,0.066,4.0,11.0,0.9982,3.22,0.77,12.3,6.0
3295,7.7,0.69,0.36,2.5,0.07,17.0,43.0,0.9964,3.47,0.55,10.5,6.0
3296,9.9,0.42,0.31,2.2,0.074,6.0,32.0,0.9976,3.1,0.55,10.8,6.0
3297,8.0,0.43,0.34,2.5,0.415,36.0,72.0,0.9968,3.22,0.64,11.0,7.0
3298,7.8,0.69,0.0,2.0,0.095,9.0,28.0,0.99064,3.27,0.58,9.3,6.0
3299,9.4,0.61,0.14,2.1,0.074,19.0,37.0,0.9976,3.17,0.57,10.5,4.0
3300,6.6,0.4,0.32,2.3,0.081,11.0,25.0,0.9966,3.42,0.59,9.6,5.0
3301,7.6,0.41,0.39,2.1,0.08,16.0,94.0,0.99522,3.61,0.62,9.3,5.0
3302,7.5,0.4,0.0,1.6,0.073,3.0,12.0,0.9964,3.54,0.65,9.1,5.0
3303,7.4,0.63,0.03,1.9,0.078,8.0,16.0,0.9984,3.38,0.57,9.4,6.0
3304,8.3,0.52,0.13,1.9,0.072,14.0,34.0,0.99728,3.14,0.52,10.3,5.0
3305,7.3,0.58,0.29,2.3,0.098,4.0,12.0,0.99744,3.39,0.53,9.4,5.0
3306,6.9,0.46,0.14,2.8,0.081,31.0,58.0,0.9968,3.27,0.66,11.6,4.0
3307,8.1,0.3,0.4,2.5,0.074,8.0,18.0,0.9973,3.23,0.74,11.0,5.0
3308,7.2,0.44,0.31,2.3,0.073,22.0,65.0,0.99702,3.24,0.74,9.9,5.0
3309,7.9,0.38,0.4,2.1,0.077,4.0,10.0,0.99672,3.42,0.74,12.2,7.0
3310,7.1,0.54,0.07,1.4,0.1,26.0,65.0,0.9961,3.38,0.5,9.5,6.0
3311,7.5,0.51,0.09,2.4,0.081,8.0,23.0,0.99578,3.45,0.56,10.9,6.0
3312,7.5,0.62,0.03,2.0,0.074,9.0,33.0,0.9952,3.6,0.53,9.3,6.0
3313,8.9,0.4,0.34,2.2,0.08,5.0,19.0,0.9987,3.24,0.54,9.2,5.0
3314,7.9,0.39,0.49,1.8,0.074,21.0,104.0,0.99584,3.35,0.4,9.3,6.0
3315,7.2,0.54,0.26,2.4,0.08,17.0,47.0,0.99642,3.19,0.54,9.2,5.0
3316,7.6,0.74,0.14,2.0,0.084,14.0,32.0,0.9994,3.23,0.59,9.9,5.0
3317,5.6,0.43,0.24,2.1,0.123,9.0,27.0,0.99444,3.31,0.56,10.0,6.0
3318,9.2,0.47,0.32,2.3,0.077,7.0,31.0,0.9974,3.31,0.79,9.3,4.0
3319,8.2,0.43,0.43,2.4,0.084,35.0,65.0,0.9972,3.22,0.44,11.4,6.0
3320,7.1,0.42,0.21,2.1,0.079,29.0,47.0,0.99636,3.32,0.47,9.5,5.0
3321,7.8,0.62,0.0,2.3,0.072,12.0,65.0,0.9966,3.31,0.62,9.4,5.0
3322,8.4,0.39,0.44,2.3,0.071,6.0,12.0,0.9996,3.21,0.66,9.8,5.0
3323,8.5,0.42,0.3,1.7,0.08,14.0,28.0,0.9994,3.42,0.56,9.4,6.0
3324,8.1,0.49,0.2,2.0,0.07,8.0,19.0,0.99504,3.33,0.55,11.0,7.0
3325,8.8,0.5,0.32,1.8,0.0819999999999999,16.0,39.0,0.99592,3.16,0.6,10.4,6.0
3326,7.2,0.51,0.24,2.0,0.072,12.0,20.0,0.99586,3.42,0.49,11.4,6.0
3327,9.9,0.45,0.32,2.0,0.074,6.0,47.0,0.99584,3.23,0.54,10.0,6.0
3328,10.0,0.18,0.48,2.5,0.073,8.0,23.0,0.99672,3.24,0.57,12.2,7.0
3329,7.1,0.31,0.42,1.7,0.072,17.0,60.0,0.99546,3.21,0.84,10.8,5.0
3330,8.1,1.02,0.44,2.2,0.078,7.0,12.0,0.99592,3.16,0.54,11.4,7.0
3331,7.1,0.78,0.0,2.8,0.08,10.0,28.0,0.99586,3.23,0.58,9.6,5.0
3332,8.7,0.49,0.31,1.8,0.0819999999999999,9.0,31.0,0.9968,3.22,0.62,9.9,6.0
3333,8.0,0.49,0.24,1.7,0.074,25.0,52.0,0.99656,3.2,0.58,9.2,6.0
3334,8.5,0.61,0.14,2.1,0.077,18.0,72.0,0.9994,3.21,0.72,9.5,6.0
3335,7.7,0.57,0.02,1.6,0.073,10.0,19.0,0.9959,3.28,0.48,9.4,5.0
3336,8.5,0.41,0.37,2.1,0.071,11.0,62.0,0.99524,3.18,0.64,9.4,6.0
3337,9.0,0.43,0.45,2.4,0.073,16.0,89.0,0.9986,3.27,0.58,9.2,5.0
3338,12.3,0.35,0.57,2.2,0.09,6.0,18.0,0.9972,3.17,0.57,9.5,5.0
3339,7.5,0.52,0.14,1.7,0.0819999999999999,13.0,35.0,0.9988,3.41,0.54,9.8,5.0
3340,8.4,0.58,0.37,2.3,0.078,5.0,14.0,0.99576,3.28,0.85,9.9,6.0
3341,6.8,0.69,0.0,1.8,0.077,23.0,54.0,0.99519,3.42,0.52,11.9,5.0
3342,7.6,0.46,0.27,2.6,0.075,6.0,14.0,0.99502,3.1,0.63,10.3,5.0
3343,7.1,0.51,0.05,1.8,0.114,14.0,28.0,0.99498,3.39,0.53,9.4,5.0
3344,7.6,0.31,0.32,2.3,0.091,12.0,46.0,0.9948,3.36,0.57,11.2,4.0
3345,7.6,0.6,0.03,2.4,0.084,29.0,52.0,0.9959,3.39,0.58,9.5,5.0
3346,8.8,0.36,0.29,2.3,0.078,4.0,9.0,0.99458,3.39,0.6,10.8,6.0
3347,7.8,0.735,0.0,2.3,0.098,15.0,28.0,0.99616,3.67,0.63,9.6,6.0
3348,6.8,0.55,0.09,2.6,0.0819999999999999,25.0,45.0,0.9972,3.35,0.76,9.5,5.0
3349,6.8,0.59,0.0,2.6,0.068,6.0,31.0,0.99586,3.28,0.58,9.9,5.0
3350,9.8,0.59,0.09,2.0,0.079,3.0,15.0,0.9974,3.5,0.53,9.8,5.0
3351,8.0,0.42,0.46,2.3,0.081,3.0,8.0,0.9963,3.28,0.76,9.4,5.0
3352,7.3,0.57,0.24,3.3,0.092,24.0,77.0,0.99708,3.37,0.59,9.9,5.0
3353,8.0,0.725,0.0,2.1,0.074,18.0,35.0,0.9976,3.36,0.54,11.1,6.0
3354,6.9,0.46,0.24,2.6,0.092,24.0,45.0,0.9971,3.44,0.49,10.5,5.0
3355,6.1,0.59,0.19,2.2,0.065,5.0,14.0,0.9972,3.39,0.6,9.5,5.0
3356,9.2,0.31,0.32,2.1,0.067,17.0,44.0,0.9972,3.44,0.64,10.4,5.0
3357,7.2,0.39,0.24,2.0,0.074,16.0,49.0,0.9967,3.17,0.55,9.3,5.0
3358,7.7,0.66,0.0,1.9,0.066,6.0,14.0,0.99708,3.41,0.84,9.4,5.0
3359,10.3,0.31,0.3,2.0,0.095,9.0,18.0,0.9963,3.31,0.52,9.7,6.0
3360,7.6,0.38,0.24,1.8,0.086,10.0,21.0,0.99746,3.25,0.51,10.3,6.0
3361,7.1,0.66,0.0,2.2,0.071,6.0,31.0,0.9963,3.36,0.47,9.7,5.0
3362,7.3,0.54,0.02,2.1,0.074,6.0,17.0,0.9968,3.56,0.74,12.0,6.0
3363,9.1,0.46,0.24,2.3,0.095,16.0,47.0,0.9976,3.34,0.54,9.3,5.0
3364,9.8,0.33,0.35,2.0,0.079,5.0,15.0,0.9988,3.29,0.69,9.3,5.0
3365,7.3,0.64,0.07,1.8,0.076,5.0,14.0,0.9958,3.53,0.62,9.6,6.0
3366,7.6,0.46,0.2,2.1,0.065,11.0,30.0,0.99622,3.12,0.65,12.6,6.0
3367,10.3,0.35,0.49,2.2,0.0819999999999999,10.0,23.0,0.99774,3.12,0.82,10.1,6.0
3368,7.6,0.6,0.06,1.7,0.0819999999999999,4.0,21.0,0.9964,3.45,0.68,9.6,5.0
3369,8.6,0.69,0.07,2.6,0.063,6.0,20.0,0.99655,3.3,0.54,9.4,5.0
3370,8.9,0.38,0.44,2.5,0.103,6.0,14.0,0.9983,3.36,0.59,9.4,5.0
3371,8.3,0.33,0.35,2.5,0.069,7.0,51.0,0.9958,3.27,0.47,10.4,6.0
3372,7.4,0.865,0.0,2.1,0.077,19.0,42.0,0.9994,3.42,0.54,9.9,5.0
3373,7.8,0.785,0.0,1.8,0.086,18.0,74.0,0.9981,3.32,0.54,9.0,5.0
3374,11.3,0.31,0.49,2.2,0.069,17.0,38.0,0.99396,3.24,0.62,11.2,7.0
3375,7.2,0.6,0.06,2.1,0.066,19.0,49.0,0.9991,3.44,0.54,10.5,6.0
3376,6.7,0.62,0.02,2.4,0.07,19.0,47.0,0.9962,3.34,0.62,10.3,4.0
3377,8.3,0.31,0.41,2.2,0.087,31.0,131.0,0.9982,3.28,0.82,12.3,7.0
3378,10.0,0.32,0.37,2.4,0.071,16.0,24.0,0.9994,3.34,0.61,9.0,5.0
3379,8.6,0.65,0.17,2.3,0.076,7.0,31.0,0.9955,3.34,0.62,9.3,6.0
3380,7.7,0.6,0.19,3.1,0.077,5.0,17.0,0.9975,3.22,0.65,9.4,5.0
3381,8.9,0.4,0.34,2.0,0.078,11.0,43.0,0.99738,3.27,0.82,9.2,5.0
3382,10.2,0.5,0.49,2.0,0.0819999999999999,15.0,29.0,0.9968,3.36,0.69,9.6,4.0
3383,7.0,0.69,0.26,1.4,0.062,4.0,9.0,0.99604,3.37,0.78,12.7,7.0
3384,8.0,0.725,0.02,2.5,0.079,25.0,42.0,0.9988,3.47,0.57,9.5,5.0
3385,10.1,0.645,0.21,1.7,0.073,16.0,42.0,0.9955,3.23,0.66,9.3,6.0
3386,7.1,0.5,0.4,2.1,0.086,16.0,105.0,0.9972,3.2,0.58,9.4,5.0
3387,8.3,0.6,0.17,2.3,0.077,6.0,19.0,0.9955,3.29,0.49,9.6,6.0
3388,9.6,0.58,0.26,2.5,0.095,23.0,59.0,0.9979,3.39,0.46,9.0,6.0
3389,7.7,0.34,0.24,2.3,0.078,9.0,21.0,0.99396,3.48,0.77,9.8,5.0
3390,7.7,0.36,0.34,2.6,0.074,28.0,45.0,0.99552,3.26,0.56,10.4,5.0
3391,9.3,0.37,0.26,1.9,0.094,9.0,35.0,0.9976,3.48,0.6,9.8,6.0
3392,7.9,0.57,0.03,2.7,0.08,9.0,28.0,0.9974,3.19,0.67,10.5,6.0
3393,6.1,0.74,0.04,2.2,0.07,32.0,43.0,0.99572,3.52,0.61,12.0,7.0
3394,8.9,0.46,0.14,2.3,0.075,10.0,24.0,0.9968,3.26,0.58,9.4,4.0
3395,9.7,0.39,0.51,2.1,0.07,12.0,26.0,0.99774,3.28,0.66,9.9,6.0
3396,7.8,0.615,0.04,2.0,0.0819999999999999,6.0,13.0,0.99652,3.39,0.6,10.2,6.0
3397,9.9,0.3,0.4,2.1,0.0819999999999999,8.0,19.0,0.99786,3.37,0.59,11.4,5.0
3398,7.6,0.69,0.03,2.1,0.078,21.0,49.0,0.997,3.16,0.62,9.5,6.0
3399,6.7,0.5,0.03,1.7,0.072,38.0,98.0,0.9988,3.47,0.71,9.3,6.0
3400,6.8,0.3,0.45,1.9,0.07,11.0,65.0,0.99494,3.28,0.61,9.5,5.0
3401,11.8,0.47,0.44,1.8,0.07,9.0,33.0,0.9976,3.17,0.52,9.2,6.0
3402,9.4,0.32,0.44,2.0,0.076,18.0,37.0,0.99774,3.17,0.56,9.5,5.0
3403,7.3,0.57,0.04,1.7,0.086,8.0,19.0,0.99632,3.26,0.67,11.8,7.0
3404,8.8,0.38,0.49,1.8,0.076,9.0,28.0,0.9976,3.24,0.62,9.2,5.0
3405,7.0,0.65,0.0,1.7,0.077,14.0,31.0,0.9963,3.47,0.64,9.5,5.0
3406,8.2,0.35,0.4,2.7,0.084,18.0,86.0,0.9972,3.3,0.57,9.5,5.0
3407,7.0,0.5,0.03,1.8,0.074,13.0,37.0,0.9982,3.54,0.46,9.6,6.0
3408,7.3,0.42,0.13,2.1,0.105,32.0,66.0,0.9955,3.36,0.56,10.8,5.0
3409,7.0,0.685,0.0,1.7,0.074,17.0,29.0,0.99655,3.41,0.58,9.5,5.0
3410,7.0,0.78,0.27,2.6,0.076,19.0,31.0,0.9962,3.21,0.59,11.0,5.0
3411,8.1,0.53,0.26,2.0,0.0819999999999999,5.0,29.0,0.9964,3.37,0.57,9.2,6.0
3412,9.3,0.52,0.28,2.0,0.068,16.0,86.0,0.9994,3.38,0.59,9.5,6.0
3413,7.8,0.5,0.11,2.7,0.074,8.0,25.0,0.99642,3.21,0.57,9.4,5.0
3414,6.7,0.66,0.09,2.8,0.072,5.0,16.0,0.9958,3.35,0.55,9.3,5.0
3415,8.4,0.52,0.2,2.2,0.067,9.0,43.0,0.999,3.16,0.52,10.4,4.0
3416,8.5,0.44,0.33,2.1,0.0579999999999999,31.0,68.0,0.99648,3.31,0.58,10.5,6.0
3417,8.2,0.36,0.43,2.0,0.073,6.0,19.0,0.9982,3.31,1.35,9.2,5.0
3418,9.0,0.43,0.3,2.0,0.074,7.0,32.0,0.9964,3.42,0.56,9.2,5.0
3419,7.3,0.715,0.0,2.8,0.078,7.0,27.0,0.99629,3.31,0.64,11.0,7.0
3420,7.4,0.635,0.0,2.5,0.0819999999999999,7.0,32.0,0.9976,3.36,0.6,9.4,6.0
3421,9.0,0.5,0.31,1.8,0.094,12.0,88.0,0.9976,3.31,0.59,9.3,5.0
3422,7.7,0.58,0.08,2.8,0.087,32.0,52.0,0.99562,3.28,0.79,11.4,7.0
3423,7.7,0.42,0.33,2.2,0.079,7.0,24.0,0.9994,3.36,0.58,9.8,4.0
3424,7.9,0.59,0.0,1.6,0.088,6.0,14.0,0.99586,3.3,0.58,9.5,5.0
3425,8.6,0.38,0.49,2.1,0.077,12.0,68.0,0.996,3.21,0.85,9.8,5.0
3426,7.7,0.44,0.21,2.9,0.078,27.0,43.0,0.9965,3.39,0.54,9.4,5.0
3427,7.2,0.53,0.03,2.3,0.062,13.0,31.0,0.998,3.22,0.61,10.9,5.0
3428,7.9,0.33,0.39,2.4,0.07,5.0,27.0,0.99552,3.33,0.62,11.3,6.0
3429,7.2,0.62,0.01,1.9,0.07,6.0,16.0,0.9968,3.29,0.48,9.5,5.0
3430,8.6,0.56,0.21,2.0,0.074,7.0,20.0,0.9993,3.16,0.52,9.3,6.0
3431,6.9,0.645,0.0,2.8,0.084,11.0,62.0,0.9963,3.45,0.64,11.4,7.0
3432,10.2,0.58,0.26,2.7,0.078,7.0,18.0,0.9958,3.17,0.54,9.5,4.0
3433,7.7,0.49,0.05,2.0,0.068,12.0,29.0,0.99484,3.36,0.57,11.7,6.0
3434,7.7,0.39,0.41,2.3,0.081,19.0,58.0,0.99704,3.18,0.53,10.1,7.0
3435,7.2,0.55,0.01,1.8,0.078,23.0,49.0,0.9974,3.3,0.57,9.2,5.0
3436,10.0,0.59,0.0,2.1,0.09,6.0,18.0,0.9976,3.32,0.47,11.8,6.0
3437,7.1,0.6,0.02,2.0,0.072,26.0,53.0,0.9986,3.31,0.52,10.9,5.0
3438,7.0,0.44,0.34,1.8,0.074,24.0,46.0,0.99576,3.38,0.63,9.4,5.0
3439,7.0,0.78,0.02,2.0,0.07,17.0,45.0,0.9982,3.54,0.56,9.5,5.0
3440,8.8,0.38,0.33,2.6,0.078,11.0,25.0,0.9994,3.31,0.47,11.4,7.0
3441,8.3,0.44,0.46,2.0,0.085,11.0,44.0,0.99629,3.3,0.83,9.5,4.0
3442,7.9,0.43,0.27,1.9,0.077,6.0,12.0,0.99704,3.22,0.54,12.8,7.0
3443,8.0,0.3,0.39,1.6,0.066,15.0,33.0,0.9962,3.14,0.67,10.7,6.0
3444,7.9,0.61,0.09,2.2,0.077,6.0,15.0,0.99498,3.38,0.64,10.2,6.0
3445,9.9,0.59,0.0,2.8,0.08,15.0,66.0,0.9966,3.44,0.6,9.5,5.0
3446,8.5,0.41,0.31,2.3,0.074,9.0,22.0,0.9972,3.41,0.48,9.4,6.0
3447,7.5,0.41,0.4,2.0,0.074,18.0,23.0,0.99685,3.14,0.57,9.4,5.0
3448,7.5,0.74,0.0,2.2,0.057,10.0,19.0,0.99586,3.22,0.62,12.3,6.0
3449,7.0,0.56,0.04,2.6,0.077,15.0,49.0,0.99704,3.4,0.53,9.8,5.0
3450,7.8,0.59,0.26,2.7,0.07,15.0,28.0,0.9978,3.39,0.58,9.9,6.0
3451,7.9,0.44,0.28,2.0,0.0819999999999999,21.0,48.0,0.99656,3.38,0.55,9.5,6.0
3452,10.2,0.43,0.49,1.9,0.0969999999999999,28.0,43.0,0.99586,3.3,0.71,10.7,6.0
3453,8.8,0.42,0.39,2.9,0.0819999999999999,10.0,21.0,0.9976,3.18,0.52,11.0,7.0
3454,9.7,0.58,0.14,2.1,0.074,9.0,31.0,0.9974,3.29,0.56,9.3,6.0
3455,8.6,0.57,0.05,2.1,0.08,9.0,16.0,0.99612,3.28,0.85,10.2,7.0
3456,9.1,0.52,0.22,2.1,0.077,20.0,49.0,0.9965,3.16,0.52,10.4,6.0
3457,6.8,0.59,0.02,2.3,0.079,5.0,14.0,0.9994,3.32,0.63,11.0,6.0
3458,7.0,0.31,0.3,2.0,0.084,20.0,49.0,0.99536,3.44,0.54,11.2,5.0
3459,6.9,0.58,0.0,1.7,0.07,6.0,25.0,0.9976,3.42,0.57,9.5,6.0
3460,8.8,0.32,0.49,2.1,0.079,12.0,20.0,0.9982,3.3,0.64,12.2,6.0
3461,6.7,0.45,0.02,2.2,0.095,17.0,38.0,0.9986,3.36,0.53,10.1,5.0
3462,8.9,0.59,0.09,2.2,0.084,16.0,28.0,0.9973,3.36,0.57,11.4,8.0
3463,7.3,0.785,0.02,1.8,0.072,14.0,27.0,0.99562,3.32,0.52,9.4,6.0
3464,7.6,0.44,0.32,2.0,0.072,16.0,28.0,0.99655,3.21,0.74,11.1,7.0
3465,6.7,0.8,0.0,1.4,0.076,9.0,22.0,0.9968,3.49,0.54,11.2,7.0
3466,10.1,0.45,0.53,2.0,0.1,26.0,44.0,0.99484,3.26,0.46,9.0,6.0
3467,8.8,0.6,0.04,2.3,0.09,9.0,18.0,0.9963,3.16,0.56,10.8,6.0
3468,6.8,0.64,0.08,2.0,0.064,14.0,20.0,0.99547,3.38,0.6,10.4,6.0
3469,9.3,0.38,0.48,2.0,0.078,7.0,33.0,0.9973,3.22,0.56,12.9,6.0
3470,9.0,0.41,0.36,2.7,0.079,6.0,13.0,0.9964,3.27,0.55,9.5,6.0
3471,9.2,0.33,0.42,2.3,0.079,9.0,31.0,0.9992,3.27,0.57,9.2,6.0
3472,7.0,0.645,0.16,2.3,0.08,13.0,65.0,0.99576,3.27,0.56,9.7,5.0
3473,6.7,0.4,0.0,2.5,0.074,5.0,28.0,0.9973,3.38,0.56,12.6,7.0
3474,7.2,0.58,0.12,2.4,0.077,11.0,20.0,0.9973,3.31,0.54,9.8,7.0
3475,7.8,0.59,0.09,2.1,0.08,6.0,15.0,0.99704,3.4,0.55,10.1,5.0
3476,11.9,0.36,0.51,1.8,0.104,6.0,15.0,0.9962,3.32,0.75,9.5,5.0
3477,11.5,0.34,0.49,2.3,0.08,24.0,54.0,0.9964,3.37,0.82,11.0,6.0
3478,7.6,0.46,0.04,2.5,0.077,27.0,64.0,0.99498,3.34,0.64,9.5,5.0
3479,7.7,0.42,0.24,2.7,0.055,13.0,49.0,0.9973,3.39,0.54,9.95,6.0
3480,8.9,0.935,0.26,2.4,0.077,18.0,45.0,0.9972,3.24,0.55,9.4,5.0
3481,7.3,0.41,0.2,1.9,0.0969999999999999,12.0,31.0,0.9973,3.36,0.61,9.4,6.0
3482,8.6,0.715,0.26,1.5,0.092,6.0,18.0,0.9948,3.17,0.53,9.5,5.0
3483,6.8,0.4,0.28,2.0,0.0819999999999999,23.0,44.0,0.9974,3.32,0.61,10.4,5.0
3484,7.2,0.57,0.24,1.9,0.07,6.0,24.0,0.9983,3.36,0.58,10.4,6.0
3485,6.1,0.64,0.09,2.1,0.093,9.0,19.0,0.99704,3.47,0.49,10.4,5.0
3486,7.2,0.56,0.03,1.7,0.06,16.0,42.0,0.99616,3.38,0.61,9.4,5.0
3487,7.0,0.6,0.15,1.9,0.079,25.0,48.0,0.99688,3.35,0.68,10.2,5.0
3488,10.2,0.56,0.22,2.3,0.076,15.0,38.0,0.9994,3.31,0.55,10.3,6.0
3489,9.0,0.3,0.45,1.6,0.081,14.0,32.0,0.9968,3.21,0.74,9.3,5.0
3490,7.1,0.56,0.0,2.7,0.077,39.0,58.0,0.9972,3.15,0.69,9.8,5.0
3491,7.7,0.2,0.51,1.8,0.08,24.0,38.0,0.9968,3.09,0.84,11.3,6.0
3492,7.3,0.715,0.04,1.6,0.063,17.0,91.0,0.99685,3.38,0.64,9.5,5.0
3493,7.2,0.59,0.02,2.6,0.0819999999999999,10.0,31.0,0.99528,3.36,0.61,11.8,7.0
3494,6.8,0.52,0.13,2.2,0.077,8.0,62.0,0.9965,3.42,0.48,9.2,5.0
3495,8.7,0.43,0.34,2.1,0.075,7.0,22.0,0.99551,3.2,0.74,9.3,5.0
3496,7.8,0.66,0.0,2.6,0.065,6.0,21.0,0.9994,3.36,0.6,9.3,6.0
3497,7.1,0.54,0.04,2.6,0.076,6.0,17.0,0.99572,3.27,0.54,10.3,5.0
3498,7.5,0.55,0.15,2.0,0.075,5.0,19.0,0.99458,3.2,0.48,11.4,4.0
3499,9.0,0.27,0.32,2.2,0.088,6.0,12.0,0.9961,3.19,0.76,11.1,6.0
3500,8.2,0.5,0.32,2.2,0.077,11.0,23.0,0.99786,3.3,0.54,11.5,6.0
3501,8.3,0.54,0.12,2.1,0.074,6.0,20.0,0.9962,3.26,0.52,9.4,4.0
3502,8.1,0.53,0.26,1.9,0.073,10.0,28.0,0.9964,3.32,0.53,11.2,6.0
3503,7.1,0.5,0.44,1.9,0.0579999999999999,16.0,60.0,0.9981,3.17,0.64,9.9,5.0
3504,7.0,0.52,0.08,1.8,0.074,13.0,54.0,0.9964,3.51,0.56,9.8,6.0
3505,8.1,0.735,0.22,2.3,0.084,23.0,136.0,0.9988,3.34,0.67,9.3,5.0
3506,10.0,0.39,0.56,2.2,0.094,23.0,44.0,0.9971,3.3,0.64,10.0,6.0
3507,8.0,0.56,0.24,1.9,0.077,5.0,33.0,0.99656,3.25,0.68,10.0,5.0
3508,9.2,0.4,0.31,1.7,0.075,6.0,47.0,0.9955,3.26,0.54,9.4,5.0
3509,9.4,0.5,0.39,2.2,0.074,29.0,64.0,0.99656,3.32,0.6,10.8,5.0
3510,8.9,0.78,0.0,2.0,0.08,29.0,68.0,0.995,3.31,0.6,10.0333333333333,6.0
3511,7.5,0.62,0.0,1.9,0.072,19.0,37.0,0.99656,3.51,0.43,9.4,5.0
3512,10.4,0.34,0.35,2.0,0.08,5.0,13.0,0.996,3.31,0.44,11.0,6.0
3513,6.6,0.885,0.09,2.1,0.079,11.0,18.0,0.9994,3.53,0.54,11.9,6.0
3514,7.6,0.6,0.06,2.0,0.1009999999999999,16.0,42.0,0.9956,3.37,0.56,9.4,6.0
3515,7.9,0.61,0.15,2.2,0.076,17.0,60.0,0.9966,3.39,0.57,9.4,6.0
3516,7.8,0.37,0.4,2.4,0.092,17.0,36.0,0.9982,3.46,0.67,9.2,5.0
3517,9.1,0.58,0.15,2.1,0.08,15.0,28.0,0.9973,3.16,0.54,9.9,5.0
3518,9.1,0.36,0.3,2.0,0.066,19.0,66.0,0.99702,3.41,0.64,10.0,7.0
3519,7.8,0.67,0.0,1.8,0.064,12.0,20.0,0.99562,3.38,0.66,9.7,6.0
3520,7.2,0.32,0.42,2.0,0.0819999999999999,12.0,47.0,0.9968,3.38,0.59,9.5,6.0
3521,7.4,0.65,0.18,2.1,0.073,11.0,42.0,0.99708,3.36,0.55,9.3,5.0
3522,9.9,0.6,0.41,2.1,0.091,20.0,110.0,0.9968,3.29,0.69,9.9,8.0
3523,6.4,0.6,0.0,2.2,0.059,5.0,12.0,0.99708,3.48,0.9,10.9,6.0
3524,7.9,0.56,0.02,1.7,0.087,3.0,10.0,0.9964,3.22,0.57,9.5,6.0
3525,9.3,0.33,0.48,1.7,0.087,21.0,52.0,0.9996,3.27,0.55,10.9,6.0
3526,9.1,0.61,0.24,2.8,0.074,18.0,77.0,0.9994,3.51,0.64,11.2,6.0
3527,7.9,0.29,0.37,2.3,0.095,9.0,23.0,0.9998,3.45,0.58,9.5,5.0
3528,8.4,0.59,0.0,2.3,0.063,5.0,15.0,0.99458,3.12,0.6,10.5,5.0
3529,8.2,0.5,0.3,2.5,0.065,9.0,18.0,0.99652,3.19,0.79,10.9,5.0
3530,7.3,0.47,0.45,1.8,0.08,6.0,20.0,0.99258,3.4,0.57,9.8,6.0
3531,7.9,0.59,0.03,2.0,0.0969999999999999,24.0,92.0,0.99774,3.26,0.51,9.6,7.0
3532,11.9,0.29,0.49,2.1,0.073,12.0,45.0,0.9982,3.28,0.64,10.0,5.0
3533,12.4,0.36,0.49,2.6,0.09,6.0,20.0,0.9982,3.28,0.73,9.2,6.0
3534,7.4,0.3,0.42,1.8,0.079,13.0,27.0,0.9968,3.28,0.73,9.8,5.0
3535,10.2,0.34,0.47,2.1,0.078,26.0,52.0,0.9988,3.26,1.14,10.8,6.0
3536,8.2,0.53,0.22,2.5,0.091,20.0,49.0,0.99578,3.18,0.53,9.4,5.0
3537,10.0,0.6,0.27,2.6,0.0819999999999999,7.0,19.0,0.9964,3.28,0.62,9.4,5.0
3538,7.1,0.725,0.06,2.2,0.118,6.0,22.0,0.99586,3.3,0.6,11.0,7.0
3539,7.6,0.59,0.01,2.2,0.094,6.0,22.0,0.99498,3.17,0.54,10.0,7.0
3540,8.2,0.68,0.15,1.8,0.074,5.0,28.0,0.9963,3.2,0.54,10.7,5.0
3541,7.3,0.785,0.0,2.5,0.079,18.0,32.0,0.9994,3.52,0.57,9.5,6.0
3542,7.1,0.69,0.06,1.6,0.067,4.0,12.0,0.99652,3.38,0.56,10.2,6.0
3543,6.1,0.87,0.01,1.8,0.066,12.0,44.0,0.9972,3.54,0.52,9.5,5.0
3544,7.9,0.58,0.17,2.2,0.08,6.0,12.0,0.99576,3.38,0.55,9.4,6.0
3545,9.9,0.23,0.49,2.1,0.076,7.0,16.0,0.9993,3.22,0.61,11.7,6.0
3546,6.7,0.5,0.0,3.0,0.064,15.0,20.0,0.9962,3.34,0.53,10.0,7.0
